moyen de transport, gCO2/km
TER,0.03
voiture,0.19
moto,0.17
avion,0.13
bus GNV,0.11
busthermique ,0.1
scooter et moto legere,0.06
Autocar,0.04
voiture electrique,0.02
bus electrique,0.01
Intercites,0.01
